title,date,location
South Attleboro Station Accessibility Improvements Virtual Public Meeting,"March 4, 2021, 6:00 PM","Virtual, South Attleboro, MA"
Fiscal and Management Control Board Meeting,"March 8, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Fare Transformation Sales Network Virtual Public Meeting,"March 23, 2021, 6:00 PM","Virtual, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group Meeting,"March 25, 2021, 2:00 PM","Virtual, Boston, MA"
Dorchester Ave Bridge Replacement Virtual Public Meeting,"March 25, 2021, 6:00 PM","Virtual, Boston, MA"
Fare Transformation Sales Network Virtual Public Meeting,"March 25, 2021, 6:00 PM","Virtual, Boston, MA"
Silver Line Extension Alternatives Analysis Working Group Meeting #2,"March 29, 2021, 12:00 PM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"March 29, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Gloucester Drawbridge Virtual Public Meeting,"March 30, 2021, 6:00 PM","Virtual, Boston, MA"
Fare Transformation Sales Network Virtual Public Meeting,"March 30, 2021, 6:00 PM","Virtual, Boston, MA"
Fiscal and Management Control Board Meeting,"April 12, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Fare Evasion Regulations Public Hearing,"April 15, 2021, 6:00 PM","Virtual, Boston, MA"
Fare Payment Verification Public Meeting,"April 20, 2021, 6:00 PM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"April 26, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Silver Line Extension Alternatives Analysis Public Meeting #1,"April 27, 2021, 6:00 PM","Virtual, Boston, MA"
Fare Payment Verification Public Meeting,"April 29, 2021, 6:00 PM","Virtual, Boston, MA"
GLT D Branch Station Accessibility Improvements Public Meeting,"April 29, 2021, 6:00 PM","Virtual, Boston, MA"
East Cottage Street and Norfolk Avenue Bridges Replacement Project Virtual Public Meeting,"May 6, 2021, 6:00 PM","Virtual, Boston, MA"
Fiscal and Management Control Board Meeting,"May 10, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group Meeting,"May 18, 2021, 5:30 PM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"May 24, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Public Meeting | Fare Rules (Virtual),"May 25, 2021, 6:00 PM","Virtual, Boston, MA"
